,card_company,region,type_of_business,amount
168,g,경기 수원시,한식 음식점업,5142.857142857143
169,a,경기 수원시,의복 소매업,11085.714285714286
170,d,경기 수원시,한식 음식점업,3000.0
171,d,경기 수원시,한식 음식점업,4571.428571428572
172,a,경기 수원시,서양식 음식점업,3785.714285714286
173,b,경기 수원시,한식 음식점업,2571.428571428572
174,e,경기 수원시,의복 소매업,13085.714285714286
175,a,경기 수원시,한식 음식점업,8428.57142857143
176,a,경기 수원시,의복 소매업,21800.0
177,f,경기 수원시,두발 미용업,4285.714285714285
178,c,경기 수원시,두발 미용업,12142.857142857143
179,a,경기 수원시,한식 음식점업,6857.142857142857
180,g,경기 수원시,한식 음식점업,8714.285714285714
181,a,경기 수원시,서양식 음식점업,5142.857142857143
182,a,경기 수원시,의복 소매업,16514.285714285714
183,e,경기 수원시,서양식 음식점업,9142.857142857143
184,c,경기 수원시,의복 소매업,3985.714285714286
185,e,경기 수원시,한식 음식점업,1857.142857142857
186,a,경기 수원시,서양식 음식점업,7714.285714285716
187,c,경기 수원시,한식 음식점업,4428.571428571428
188,b,경기 수원시,의복 소매업,15142.857142857143
189,a,경기 수원시,한식 음식점업,2571.428571428572
190,a,경기 수원시,한식 음식점업,4285.714285714285
191,b,경기 수원시,두발 미용업,2857.142857142857
192,b,경기 수원시,한식 음식점업,2000.0
193,f,경기 수원시,서양식 음식점업,5857.142857142857
194,b,경기 수원시,서양식 음식점업,2571.428571428572
195,a,경기 수원시,의복 소매업,3557.142857142857
196,d,경기 수원시,한식 음식점업,2428.5714285714284
197,b,경기 수원시,한식 음식점업,9428.57142857143
198,e,경기 수원시,의복 소매업,7100.0
199,c,경기 수원시,한식 음식점업,4285.714285714285
200,e,경기 수원시,두발 미용업,2142.8571428571427
201,b,경기 수원시,한식 음식점업,5142.857142857143
202,b,경기 수원시,의복 소매업,4271.428571428572
203,f,경기 수원시,서양식 음식점업,1357.142857142857
204,c,경기 수원시,의복 소매업,44428.57142857144
205,a,경기 수원시,서양식 음식점업,5000.0
206,f,경기 수원시,한식 음식점업,3142.857142857143
207,a,경기 수원시,한식 음식점업,2000.0
208,a,경기 수원시,서양식 음식점업,1857.142857142857
209,g,경기 수원시,한식 음식점업,2571.428571428572
210,b,경기 수원시,의복 소매업,4542.857142857143
211,e,경기 수원시,의복 소매업,43371.42857142857
212,b,경기 수원시,의복 소매업,5000.0
213,a,경기 수원시,한식 음식점업,2000.0
214,g,경기 수원시,서양식 음식점업,4714.285714285715
215,e,경기 수원시,한식 음식점업,1857.142857142857
216,f,경기 수원시,의복 소매업,10828.57142857143
217,b,경기 수원시,한식 음식점업,2714.285714285714
218,e,경기 수원시,서양식 음식점업,2142.8571428571427
219,g,경기 수원시,한식 음식점업,2428.5714285714284
220,a,경기 수원시,한식 음식점업,4142.857142857143
221,a,경기 수원시,한식 음식점업,-9571.42857142857
222,b,경기 수원시,두발 미용업,3571.428571428572
223,f,경기 수원시,한식 음식점업,16142.857142857143
224,h,경기 수원시,한식 음식점업,4142.857142857143
225,a,경기 수원시,한식 음식점업,2000.0
226,g,경기 수원시,서양식 음식점업,6000.0
227,a,경기 수원시,한식 음식점업,3142.857142857143
228,c,경기 수원시,한식 음식점업,12142.857142857143
229,a,경기 수원시,한식 음식점업,1857.142857142857
230,d,경기 수원시,한식 음식점업,2857.142857142857
231,b,경기 수원시,서양식 음식점업,428.57142857142856
232,a,경기 수원시,두발 미용업,7857.142857142857
233,a,경기 수원시,의복 소매업,24000.0
234,b,경기 수원시,한식 음식점업,2714.285714285714
235,a,경기 수원시,한식 음식점업,1857.142857142857
236,g,경기 수원시,의복 소매업,20000.0
237,b,경기 수원시,의복 소매업,3685.714285714286
238,g,경기 수원시,서양식 음식점업,6142.857142857143
239,c,경기 수원시,의복 소매업,4971.428571428572
240,d,경기 수원시,한식 음식점업,2571.428571428572
241,g,경기 수원시,서양식 음식점업,2571.428571428572
242,c,경기 수원시,서양식 음식점업,8285.714285714286
243,d,경기 수원시,한식 음식점업,8142.857142857143
244,h,경기 수원시,한식 음식점업,4142.857142857143
245,a,경기 수원시,한식 음식점업,3428.5714285714284
246,e,경기 수원시,서양식 음식점업,4857.142857142857
247,e,경기 수원시,두발 미용업,18571.428571428565
248,b,경기 수원시,의복 소매업,13828.571428571431
249,h,경기 수원시,의복 소매업,12214.285714285714
250,g,경기 수원시,한식 음식점업,6285.714285714284
251,a,경기 수원시,한식 음식점업,1857.142857142857
252,b,경기 수원시,의복 소매업,6542.857142857143
253,a,경기 수원시,한식 음식점업,4285.714285714285
254,f,경기 수원시,한식 음식점업,7714.285714285716
255,a,경기 수원시,서양식 음식점업,4000.0
256,b,경기 수원시,서양식 음식점업,714.2857142857142
257,e,경기 수원시,서양식 음식점업,5714.285714285716
258,g,경기 수원시,서양식 음식점업,714.2857142857142
259,c,경기 수원시,의복 소매업,16200.0
260,d,경기 수원시,의복 소매업,6685.714285714284
261,b,경기 수원시,한식 음식점업,2142.8571428571427
262,a,경기 수원시,의복 소매업,22000.0
263,a,경기 수원시,한식 음식점업,11857.142857142857
264,e,경기 수원시,의복 소매업,34628.57142857143
265,a,경기 수원시,한식 음식점업,1857.142857142857
266,c,경기 수원시,서양식 음식점업,7571.428571428572
267,a,경기 수원시,서양식 음식점업,2857.142857142857
268,a,경기 수원시,두발 미용업,7714.285714285716
269,b,경기 수원시,한식 음식점업,1857.142857142857
270,e,경기 수원시,한식 음식점업,10571.42857142857
271,g,경기 수원시,한식 음식점업,2571.428571428572
272,c,경기 수원시,한식 음식점업,1142.857142857143
273,d,경기 수원시,한식 음식점업,2000.0
274,a,경기 수원시,한식 음식점업,5571.428571428572
275,h,경기 수원시,의복 소매업,9971.42857142857
276,b,경기 수원시,서양식 음식점업,3142.857142857143
277,h,경기 수원시,한식 음식점업,1857.142857142857
278,b,경기 수원시,한식 음식점업,2714.285714285714
279,b,경기 수원시,서양식 음식점업,642.8571428571429
280,b,경기 수원시,서양식 음식점업,2571.428571428572
281,c,경기 수원시,의복 소매업,11971.428571428569
282,a,경기 수원시,의복 소매업,15200.0
283,b,경기 수원시,서양식 음식점업,1285.7142857142858
284,a,경기 수원시,의복 소매업,12642.857142857143
285,a,경기 수원시,한식 음식점업,31571.42857142857
286,h,경기 수원시,의복 소매업,19200.0
287,f,경기 수원시,서양식 음식점업,7428.571428571428
288,a,경기 수원시,한식 음식점업,6142.857142857143
289,a,경기 수원시,한식 음식점업,1857.142857142857
290,b,경기 수원시,의복 소매업,8542.857142857143
291,c,경기 수원시,서양식 음식점업,3214.285714285714
292,b,경기 수원시,서양식 음식점업,2000.0
293,g,경기 수원시,의복 소매업,4542.857142857143
294,e,경기 수원시,한식 음식점업,13571.428571428569
295,b,경기 수원시,의복 소매업,8542.857142857143
296,c,경기 수원시,한식 음식점업,4428.571428571428
297,a,경기 수원시,서양식 음식점업,2714.285714285714
298,b,경기 수원시,두발 미용업,1714.2857142857142
299,f,경기 수원시,의복 소매업,7100.0
300,a,경기 수원시,의복 소매업,1985.7142857142856
301,a,경기 수원시,두발 미용업,8571.42857142857
302,a,경기 수원시,한식 음식점업,2571.428571428572
303,a,경기 수원시,서양식 음식점업,1714.2857142857142
304,c,경기 수원시,한식 음식점업,7714.285714285716
305,b,경기 수원시,의복 소매업,7114.285714285716
306,e,경기 수원시,한식 음식점업,8357.142857142857
307,f,경기 수원시,의복 소매업,14228.571428571431
308,c,경기 수원시,한식 음식점업,3857.142857142857
309,b,경기 수원시,한식 음식점업,14142.857142857143
310,a,경기 수원시,두발 미용업,8571.42857142857
311,a,경기 수원시,한식 음식점업,142.85714285714286
312,e,경기 수원시,서양식 음식점업,2571.428571428572
313,c,경기 수원시,한식 음식점업,7000.0
314,e,경기 수원시,두발 미용업,4571.428571428572
315,f,경기 수원시,한식 음식점업,2428.5714285714284
316,a,경기 수원시,의복 소매업,20057.14285714286
317,a,경기 수원시,한식 음식점업,5142.857142857143
318,a,경기 수원시,한식 음식점업,7285.714285714284
319,b,경기 수원시,두발 미용업,2142.8571428571427
320,a,경기 수원시,한식 음식점업,40428.57142857143
321,a,경기 수원시,서양식 음식점업,1142.857142857143
322,d,경기 수원시,한식 음식점업,1857.142857142857
323,f,경기 수원시,서양식 음식점업,2714.285714285714
324,c,경기 수원시,두발 미용업,1428.571428571429
325,f,경기 수원시,서양식 음식점업,714.2857142857142
326,b,경기 수원시,서양식 음식점업,4857.142857142857
327,c,경기 수원시,서양식 음식점업,3000.0
328,b,경기 수원시,한식 음식점업,7000.0
329,a,경기 수원시,한식 음식점업,2857.142857142857
330,a,경기 수원시,의복 소매업,9828.57142857143
331,a,경기 수원시,한식 음식점업,8428.57142857143
332,d,경기 수원시,서양식 음식점업,5714.285714285716
333,a,경기 수원시,의복 소매업,2828.5714285714284
334,g,경기 수원시,한식 음식점업,14428.571428571431
335,a,경기 수원시,의복 소매업,13085.714285714286
336,a,경기 수원시,한식 음식점업,7285.714285714284
337,d,경기 수원시,한식 음식점업,17714.285714285714
338,d,경기 수원시,한식 음식점업,2000.0
339,a,경기 수원시,의복 소매업,10257.142857142857
340,e,경기 수원시,한식 음식점업,4142.857142857143
341,b,경기 수원시,의복 소매업,3700.0
342,b,경기 수원시,서양식 음식점업,3857.142857142857
343,a,경기 수원시,서양식 음식점업,2142.8571428571427
344,d,경기 수원시,한식 음식점업,3571.428571428572
345,b,경기 수원시,한식 음식점업,6428.571428571428
346,b,경기 수원시,서양식 음식점업,3071.428571428572
347,f,경기 수원시,서양식 음식점업,2000.0
348,c,경기 수원시,서양식 음식점업,2571.428571428572
349,e,경기 수원시,서양식 음식점업,1142.857142857143
350,b,경기 수원시,한식 음식점업,21857.14285714286
351,g,경기 수원시,두발 미용업,2142.8571428571427
352,e,경기 수원시,의복 소매업,9971.42857142857
353,c,경기 수원시,두발 미용업,4285.714285714285
354,a,경기 수원시,한식 음식점업,2857.142857142857
355,b,경기 수원시,서양식 음식점업,571.4285714285714
356,a,경기 수원시,의복 소매업,4828.571428571428
357,c,경기 수원시,한식 음식점업,5857.142857142857
358,b,경기 수원시,서양식 음식점업,2428.5714285714284
359,a,경기 수원시,서양식 음식점업,500.0
360,b,경기 수원시,서양식 음식점업,3428.5714285714284
361,g,경기 수원시,서양식 음식점업,1428.571428571429
362,f,경기 수원시,한식 음식점업,2857.142857142857
363,d,경기 수원시,한식 음식점업,1857.142857142857
364,f,경기 수원시,한식 음식점업,7571.428571428572
365,c,경기 수원시,의복 소매업,44571.428571428565
366,a,경기 수원시,의복 소매업,27342.857142857138
367,a,경기 수원시,한식 음식점업,6285.714285714284
368,d,경기 수원시,한식 음식점업,2285.714285714286
369,a,경기 수원시,두발 미용업,2142.8571428571427
370,b,경기 수원시,의복 소매업,4542.857142857143
371,a,경기 수원시,의복 소매업,12657.142857142857
372,g,경기 수원시,의복 소매업,9971.42857142857
373,b,경기 수원시,한식 음식점업,2571.428571428572
374,c,경기 수원시,서양식 음식점업,4857.142857142857
375,c,경기 수원시,한식 음식점업,1857.142857142857
376,a,경기 수원시,한식 음식점업,2142.8571428571427
377,b,경기 수원시,서양식 음식점업,714.2857142857142
378,f,경기 수원시,서양식 음식점업,6714.285714285716
379,a,경기 수원시,한식 음식점업,2000.0
380,a,경기 수원시,한식 음식점업,13428.571428571431
381,b,경기 수원시,한식 음식점업,3571.428571428572
382,a,경기 수원시,한식 음식점업,11571.428571428569
383,a,경기 수원시,서양식 음식점업,2000.0
384,d,경기 수원시,한식 음식점업,5857.142857142857
385,b,경기 수원시,한식 음식점업,25071.42857142857
386,c,경기 수원시,한식 음식점업,2714.285714285714
387,b,경기 수원시,서양식 음식점업,1285.7142857142858
388,a,경기 수원시,의복 소매업,10942.857142857143
389,e,경기 수원시,한식 음식점업,4000.0
390,e,경기 수원시,서양식 음식점업,2857.142857142857
391,b,경기 수원시,한식 음식점업,2000.0
392,a,경기 수원시,한식 음식점업,1857.142857142857
393,a,경기 수원시,한식 음식점업,9000.0
394,b,경기 수원시,서양식 음식점업,3000.0
395,a,경기 수원시,한식 음식점업,2000.0
396,c,경기 수원시,두발 미용업,12857.142857142857
397,d,경기 수원시,한식 음식점업,5428.571428571428
398,b,경기 수원시,한식 음식점업,2142.8571428571427
399,c,경기 수원시,의복 소매업,14942.857142857143
400,d,경기 수원시,한식 음식점업,1857.142857142857
401,f,경기 수원시,두발 미용업,7714.285714285716
402,a,경기 수원시,한식 음식점업,4714.285714285715
403,d,경기 수원시,한식 음식점업,3857.142857142857
404,b,경기 수원시,한식 음식점업,2714.285714285714
405,f,경기 수원시,서양식 음식점업,3000.0
406,c,경기 수원시,서양식 음식점업,1000.0
407,g,경기 수원시,한식 음식점업,12000.0
408,c,경기 수원시,한식 음식점업,2857.142857142857
409,a,경기 수원시,한식 음식점업,7428.571428571428
410,a,경기 수원시,의복 소매업,5128.571428571428
411,b,경기 수원시,서양식 음식점업,5571.428571428572
412,b,경기 수원시,한식 음식점업,56714.285714285725
413,a,경기 수원시,한식 음식점업,8428.57142857143
414,h,경기 수원시,한식 음식점업,2857.142857142857
415,d,경기 수원시,한식 음식점업,2000.0
416,a,경기 수원시,한식 음식점업,2857.142857142857
417,b,경기 수원시,의복 소매업,3985.714285714286
418,b,경기 수원시,서양식 음식점업,2142.8571428571427
419,g,경기 수원시,한식 음식점업,3857.142857142857
420,c,경기 수원시,의복 소매업,45200.0
421,a,경기 수원시,한식 음식점업,5285.714285714285
422,b,경기 수원시,두발 미용업,2142.8571428571427
423,a,경기 수원시,한식 음식점업,15142.857142857143
424,b,경기 수원시,서양식 음식점업,2714.285714285714
425,c,경기 수원시,의복 소매업,857.1428571428571
426,f,경기 수원시,의복 소매업,4542.857142857143
427,e,경기 수원시,한식 음식점업,4428.571428571428
428,b,경기 수원시,서양식 음식점업,3000.0
429,h,경기 수원시,의복 소매업,8385.714285714286
430,b,경기 수원시,한식 음식점업,7571.428571428572
431,f,경기 수원시,두발 미용업,1428.571428571429
432,b,경기 수원시,한식 음식점업,2000.0
433,h,경기 수원시,의복 소매업,6085.714285714284
434,e,경기 수원시,의복 소매업,36400.0
435,f,경기 수원시,한식 음식점업,2571.428571428572
436,e,경기 수원시,서양식 음식점업,2500.0
437,e,경기 수원시,의복 소매업,15371.428571428569
438,a,경기 수원시,한식 음식점업,3714.285714285714
439,c,경기 수원시,한식 음식점업,1857.142857142857
440,a,경기 수원시,의복 소매업,571.4285714285714
441,c,경기 수원시,두발 미용업,8571.42857142857
442,b,경기 수원시,한식 음식점업,2571.428571428572
443,a,경기 수원시,한식 음식점업,14714.285714285714
444,a,경기 수원시,한식 음식점업,5857.142857142857
445,b,경기 수원시,의복 소매업,4971.428571428572
446,e,경기 수원시,서양식 음식점업,1285.7142857142858
447,e,경기 수원시,서양식 음식점업,2428.5714285714284
448,b,경기 수원시,한식 음식점업,8714.285714285714
449,e,경기 수원시,한식 음식점업,2857.142857142857
450,b,경기 수원시,의복 소매업,8971.42857142857
451,d,경기 수원시,서양식 음식점업,3857.142857142857
452,c,경기 수원시,한식 음식점업,1857.142857142857
453,a,경기 수원시,한식 음식점업,2000.0
454,c,경기 수원시,의복 소매업,4971.428571428572
455,f,경기 수원시,한식 음식점업,2714.285714285714
456,b,경기 수원시,서양식 음식점업,642.8571428571429
457,d,경기 수원시,한식 음식점업,2714.285714285714
458,c,경기 수원시,서양식 음식점업,1571.428571428571
459,a,경기 수원시,서양식 음식점업,928.5714285714288
460,b,경기 수원시,의복 소매업,26771.42857142857
461,g,경기 수원시,한식 음식점업,22857.142857142862
462,a,경기 수원시,두발 미용업,1857.142857142857
463,c,경기 수원시,의복 소매업,8800.0
464,h,경기 수원시,서양식 음식점업,3571.428571428572
465,b,경기 수원시,한식 음식점업,2000.0
466,f,경기 수원시,서양식 음식점업,6285.714285714284
467,f,경기 수원시,한식 음식점업,20571.428571428565
468,b,경기 수원시,서양식 음식점업,1142.857142857143
469,h,경기 수원시,한식 음식점업,2571.428571428572
470,d,경기 수원시,한식 음식점업,3000.0
471,f,경기 수원시,서양식 음식점업,5857.142857142857
472,b,경기 수원시,의복 소매업,17942.85714285714
473,a,경기 수원시,서양식 음식점업,3285.714285714286
474,b,경기 수원시,두발 미용업,3142.857142857143
475,b,경기 수원시,의복 소매업,10800.0
476,d,경기 수원시,한식 음식점업,124000.0
477,e,경기 수원시,서양식 음식점업,1714.2857142857142
478,b,경기 수원시,의복 소매업,2142.8571428571427
479,g,경기 수원시,의복 소매업,5700.0
480,b,경기 수원시,의복 소매업,9685.714285714286
481,e,경기 수원시,의복 소매업,3400.0
482,a,경기 수원시,서양식 음식점업,2428.5714285714284
483,a,경기 수원시,두발 미용업,2142.8571428571427
484,c,경기 수원시,한식 음식점업,2571.428571428572
485,e,경기 수원시,한식 음식점업,2714.285714285714
486,a,경기 수원시,한식 음식점업,2142.8571428571427
487,b,경기 수원시,두발 미용업,18571.428571428565
488,f,경기 수원시,의복 소매업,5557.142857142857
489,f,경기 수원시,의복 소매업,6400.0
490,g,경기 수원시,한식 음식점업,5714.285714285716
491,e,경기 수원시,한식 음식점업,5428.571428571428
492,d,경기 수원시,한식 음식점업,4142.857142857143
493,h,경기 수원시,한식 음식점업,11714.285714285714
494,d,경기 수원시,한식 음식점업,2000.0
495,h,경기 수원시,의복 소매업,5114.285714285715
496,b,경기 수원시,서양식 음식점업,1142.857142857143
497,e,경기 수원시,서양식 음식점업,9000.0
498,b,경기 수원시,서양식 음식점업,1428.571428571429
499,a,경기 수원시,서양식 음식점업,714.2857142857142
500,e,경기 수원시,한식 음식점업,1571.428571428571
501,a,경기 수원시,서양식 음식점업,1357.142857142857
502,b,경기 수원시,한식 음식점업,1857.142857142857
503,a,경기 수원시,서양식 음식점업,2642.857142857143
504,c,경기 평택시,한식 음식점업,2835.714285714286
505,d,경기 평택시,한식 음식점업,5142.857142857143
506,a,경기 평택시,비알코올 음료점업,571.4285714285714
507,d,경기 평택시,비알코올 음료점업,2214.285714285714
508,f,경기 평택시,한식 음식점업,2857.142857142857
509,a,경기 평택시,한식 음식점업,3285.714285714286
510,d,경기 평택시,비알코올 음료점업,1000.0
511,g,경기 평택시,한식 음식점업,3285.714285714286
512,e,경기 평택시,한식 음식점업,3857.142857142857
513,h,경기 평택시,비알코올 음료점업,500.0
514,d,경기 평택시,비알코올 음료점업,4071.428571428572
515,c,경기 평택시,한식 음식점업,5357.142857142857
516,b,경기 평택시,한식 음식점업,9571.42857142857
517,f,경기 평택시,한식 음식점업,5714.285714285716
518,f,경기 평택시,비알코올 음료점업,1242.857142857143
519,g,경기 평택시,한식 음식점업,4000.0
520,b,경기 평택시,비알코올 음료점업,1357.142857142857
521,b,경기 평택시,비알코올 음료점업,1285.7142857142858
522,a,경기 평택시,비알코올 음료점업,714.2857142857142
523,c,경기 평택시,한식 음식점업,2285.714285714286
